"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
"Buckingham County","2014-2015",428.47
"Buckingham County","2015-2016",427.95
"Buena Vista City","2011-2012",485.22
"Buena Vista City","2012-2013",437.83
"Buena Vista City","2013-2014",439.75
"Buena Vista City","2014-2015",432.51
"Buena Vista City","2015-2016",432.58
"Campbell County","2011-2012",477.53
"Campbell County","2012-2013",436.79
"Campbell County","2013-2014",435.60
"Campbell County","2014-2015",430.03
"Campbell County","2015-2016",425.50
"Caroline County","2011-2012",463.67
"Caroline County","2012-2013",414.70
"Caroline County","2013-2014",415.80
"Caroline County","2014-2015",427.89
"Caroline County","2015-2016",426.75
"Carroll County","2011-2012",472.11
"Carroll County","2012-2013",421.32
"Carroll County","2013-2014",429.68
"Carroll County","2014-2015",428.40
"Carroll County","2015-2016",424.77
"Charles City County","2011-2012",470.25
"Charles City County","2012-2013",429.18
"Charles City County","2013-2014",442.37
"Charles City County","2014-2015",441.22
"Charles City County","2015-2016",433.80
"Charlotte County","2011-2012",490.36
"Charlotte County","2012-2013",438.96
"Charlotte County","2013-2014",439.33
"Charlotte County","2014-2015",435.10
"Charlotte County","2015-2016",437.06
"Charlottesville City","2011-2012",480.81
"Charlottesville City","2012-2013",438.40
"Charlottesville City","2013-2014",430.21
"Charlottesville City","2014-2015",431.78
"Charlottesville City","2015-2016",440.74
"Chesapeake City","2011-2012",472.95
"Chesapeake City","2012-2013",431.38
"Chesapeake City","2013-2014",436.66
"Chesapeake City","2014-2015",435.91
"Chesapeake City","2015-2016",436.74
"Chesterfield County","2011-2012",475.18
"Chesterfield County","2012-2013",430.05
"Chesterfield County","2013-2014",430.65
"Chesterfield County","2014-2015",429.89
"Chesterfield County","2015-2016",428.72
"Clarke County","2011-2012",502.33
"Clarke County","2012-2013",443.57
"Clarke County","2013-2014",433.29
"Clarke County","2014-2015",440.86
"Clarke County","2015-2016",442.51
"Colonial Beach","2011-2012",484.13
"Colonial Beach","2012-2013",422.29
"Colonial Beach","2013-2014",429.53
"Colonial Beach","2014-2015",443.92
"Colonial Beach","2015-2016",442.23
"Colonial Heights City","2011-2012",483.53
"Colonial Heights City","2012-2013",430.06
"Colonial Heights City","2013-2014",431.88
"Colonial Heights City","2014-2015",431.74
"Colonial Heights City","2015-2016",431.32
"Covington City","2011-2012",489.87
"Covington City","2012-2013",432.02
"Covington City","2013-2014",437.60
"Covington City","2014-2015",446.82
"Covington City","2015-2016",443.60
"Craig County","2011-2012",489.27
"Craig County","2012-2013",441.05
"Craig County","2013-2014",441.40
"Craig County","2014-2015",427.66
"Craig County","2015-2016",433.80
"Culpeper County","2011-2012",455.16
"Culpeper County","2012-2013",423.82
"Culpeper County","2013-2014",427.42
"Culpeper County","2014-2015",423.79
"Culpeper County","2015-2016",427.89
"Cumberland County","2011-2012",464.20
"Cumberland County","2012-2013",432.94
"Cumberland County","2013-2014",432.32
"Cumberland County","2014-2015",426.40
"Cumberland County","2015-2016",434.27
"Danville City","2011-2012",460.95
"Danville City","2012-2013",424.65
"Danville City","2013-2014",429.31
"Danville City","2014-2015",432.55
"Danville City","2015-2016",424.43
"Dickenson County","2011-2012",469.74
"Dickenson County","2012-2013",424.21
"Dickenson County","2013-2014",433.03
"Dickenson County","2014-2015",426.77
"Dickenson County","2015-2016",419.68
"Dinwiddie County","2011-2012",449.99
"Dinwiddie County","2012-2013",419.93
"Dinwiddie County","2013-2014",414.10
"Dinwiddie County","2014-2015",418.45
"Dinwiddie County","2015-2016",419.17
"Essex County","2011-2012",470.77
"Essex County","2012-2013",427.90
"Essex County","2013-2014",428.15
"Essex County","2014-2015",427.30
"Essex County","2015-2016",438.43
"Fairfax County","2011-2012",492.81
"Fairfax County","2012-2013",439.76
"Fairfax County","2013-2014",442.05
"Fairfax County","2014-2015",442.42
"Fairfax County","2015-2016",441.45
"Falls Church City","2011-2012",521.98
"Falls Church City","2012-2013",458.80
"Falls Church City","2013-2014",465.43
"Falls Church City","2014-2015",462.25
"Falls Church City","2015-2016",455.99
"Fauquier County","2011-2012",469.57
"Fauquier County","2012-2013",429.49
"Fauquier County","2013-2014",426.01
"Fauquier County","2014-2015",426.18
"Fauquier County","2015-2016",428.63
"Floyd County","2011-2012",483.58
"Floyd County","2012-2013",432.53
"Floyd County","2013-2014",429.04
"Floyd County","2014-2015",428.03
"Floyd County","2015-2016",434.88
"Fluvanna County","2011-2012",483.47
"Fluvanna County","2012-2013",441.47
"Fluvanna County","2013-2014",438.70
"Fluvanna County","2014-2015",432.33
"Fluvanna County","2015-2016",440.55
"Franklin City","2011-2012",459.70
"Franklin City","2012-2013",419.74
"Franklin City","2013-2014",413.44
"Franklin City","2014-2015",419.10
"Franklin City","2015-2016",417.26
"Franklin County","2011-2012",468.38
"Franklin County","2012-2013",426.01
"Franklin County","2013-2014",424.16
"Franklin County","2014-2015",430.63
"Franklin County","2015-2016",429.09
"Frederick County","2011-2012",472.03
"Frederick County","2012-2013",428.12
"Frederick County","2013-2014",425.53
"Frederick County","2014-2015",425.62
"Frederick County","2015-2016",433.07
"Fredericksburg City","2011-2012",490.44
"Fredericksburg City","2012-2013",436.33
"Fredericksburg City","2013-2014",432.29
"Fredericksburg City","2014-2015",430.30
"Fredericksburg City","2015-2016",422.32
"Galax City","2011-2012",498.59
"Galax City","2012-2013",446.26
"Galax City","2013-2014",447.14
"Galax City","2014-2015",449.48
"Galax City","2015-2016",439.20
"Giles County","2011-2012",472.90
"Giles County","2012-2013",426.06
"Giles County","2013-2014",422.11
"Giles County","2014-2015",431.97
"Giles County","2015-2016",433.55
"Gloucester County","2011-2012",480.97
"Gloucester County","2012-2013",437.85
"Gloucester County","2013-2014",435.79
"Gloucester County","2014-2015",434.82
"Gloucester County","2015-2016",432.86
"Goochland County","2011-2012",489.75
"Goochland County","2012-2013",431.65
"Goochland County","2013-2014",431.94
"Goochland County","2014-2015",441.94
"Goochland County","2015-2016",439.02
"Grayson County","2011-2012",480.09
"Grayson County","2012-2013",422.82
"Grayson County","2013-2014",428.01
"Grayson County","2014-2015",427.22
"Grayson County","2015-2016",429.86
"Greene County","2011-2012",484.54
"Greene County","2012-2013",431.09
"Greene County","2013-2014",428.02
"Greene County","2014-2015",428.58
"Greene County","2015-2016",429.14
"Greensville County","2011-2012",471.70
"Greensville County","2012-2013",428.74
"Greensville County","2013-2014",432.21
"Greensville County","2014-2015",426.95
"Greensville County","2015-2016",425.19
"Halifax County","2011-2012",469.38
"Halifax County","2012-2013",421.75
"Halifax County","2013-2014",418.93
"Halifax County","2014-2015",415.02
"Halifax County","2015-2016",413.47
"Hampton City","2011-2012",456.72
"Hampton City","2012-2013",422.55
"Hampton City","2013-2014",424.56
"Hampton City","2014-2015",427.63
"Hampton City","2015-2016",427.69
"Hanover County","2011-2012",475.82
"Hanover County","2012-2013",434.67
"Hanover County","2013-2014",433.24
"Hanover County","2014-2015",432.25
"Hanover County","2015-2016",432.20
"Harrisonburg City","2011-2012",460.52
"Harrisonburg City","2012-2013",417.91
"Harrisonburg City","2013-2014",417.45
"Harrisonburg City","2014-2015",419.14
"Harrisonburg City","2015-2016",421.64
"Henrico County","2011-2012",489.79
"Henrico County","2012-2013",438.65
"Henrico County","2013-2014",441.88
"Henrico County","2014-2015",437.38
"Henrico County","2015-2016",438.40
"Henry County","2011-2012",475.96
"Henry County","2012-2013",430.17
"Henry County","2013-2014",432.83
"Henry County","2014-2015",428.77
"Henry County","2015-2016",428.48
"Highland County","2011-2012",528.03
"Highland County","2012-2013",432.66
"Highland County","2013-2014",423.00
"Highland County","2014-2015",426.40
"Highland County","2015-2016",442.12
"Hopewell City","2011-2012",448.40
"Hopewell City","2012-2013",417.82
"Hopewell City","2013-2014",424.48
"Hopewell City","2014-2015",416.58
"Hopewell City","2015-2016",424.29
"Isle of Wight County","2011-2012",474.03
"Isle of Wight County","2012-2013",428.66
"Isle of Wight County","2013-2014",428.58
"Isle of Wight County","2014-2015",430.90
"Isle of Wight County","2015-2016",430.16
"King and Queen County","2011-2012",472.56
"King and Queen County","2012-2013",431.00
"King and Queen County","2013-2014",441.23
"King and Queen County","2014-2015",433.34
"King and Queen County","2015-2016",427.50
"King George County","2011-2012",468.25
"King George County","2012-2013",434.69
"King George County","2013-2014",430.64
"King George County","2014-2015",429.75
"King George County","2015-2016",429.78
"King William County","2011-2012",486.08
"King William County","2012-2013",439.16
"King William County","2013-2014",438.71
"King William County","2014-2015",445.80
"King William County","2015-2016",433.08
"Lancaster County","2011-2012",478.39
"Lancaster County","2012-2013",436.18
"Lancaster County","2013-2014",426.62
"Lancaster County","2014-2015",433.16
"Lancaster County","2015-2016",430.61
"Lee County","2011-2012",470.29
"Lee County","2012-2013",425.12
"Lee County","2013-2014",428.68
"Lee County","2014-2015",430.33
"Lee County","2015-2016",411.92
"Loudoun County","2011-2012",491.14
"Loudoun County","2012-2013",440.91
"Loudoun County","2013-2014",440.67
"Loudoun County","2014-2015",440.42
"Loudoun County","2015-2016",441.83
"Louisa County","2011-2012",475.65
"Louisa County","2012-2013",428.42
"Louisa County","2013-2014",425.96
"Louisa County","2014-2015",428.01
"Louisa County","2015-2016",426.17
"Lunenburg County","2011-2012",473.13
"Lunenburg County","2012-2013",429.10
"Lunenburg County","2013-2014",420.98
"Lunenburg County","2014-2015",432.92
"Lunenburg County","2015-2016",423.90
"Lynchburg City","2011-2012",457.70
"Lynchburg City","2012-2013",424.54
"Lynchburg City","2013-2014",429.41
"Lynchburg City","2014-2015",417.13
"Lynchburg City","2015-2016",422.40
"Madison County","2011-2012",478.80
"Madison County","2012-2013",422.68
"Madison County","2013-2014",429.69
"Madison County","2014-2015",422.31
"Madison County","2015-2016",433.20
"Manassas City","2011-2012",452.23
"Manassas City","2012-2013",416.11
"Manassas City","2013-2014",425.97
"Manassas City","2014-2015",423.15
"Manassas City","2015-2016",431.17
"Manassas Park City","2011-2012",476.91
"Manassas Park City","2012-2013",432.46
"Manassas Park City","2013-2014",432.70
"Manassas Park City","2014-2015",438.45
"Manassas Park City","2015-2016",429.00
"Martinsville City","2011-2012",469.99
"Martinsville City","2012-2013",423.41
"Martinsville City","2013-2014",421.85
"Martinsville City","2014-2015",421.75
"Martinsville City","2015-2016",423.36
"Mathews County","2011-2012",499.28
"Mathews County","2012-2013",438.27
"Mathews County","2013-2014",435.48
"Mathews County","2014-2015",428.48
"Mathews County","2015-2016",434.48
"Mecklenburg County","2011-2012",484.47
"Mecklenburg County","2012-2013",427.56
"Mecklenburg County","2013-2014",429.06
"Mecklenburg County","2014-2015",428.11
"Mecklenburg County","2015-2016",425.97
"Middlesex County","2011-2012",494.61
"Middlesex County","2012-2013",438.19
"Middlesex County","2013-2014",432.76
"Middlesex County","2014-2015",435.51
"Middlesex County","2015-2016",440.62
"Montgomery County","2011-2012",463.16
"Montgomery County","2012-2013",429.53
"Montgomery County","2013-2014",428.36
"Montgomery County","2014-2015",430.73
"Montgomery County","2015-2016",430.61
"Nelson County","2011-2012",486.67
"Nelson County","2012-2013",441.69
"Nelson County","2013-2014",439.76
"Nelson County","2014-2015",436.24
"Nelson County","2015-2016",437.84
"New Kent County","2011-2012",469.63
"New Kent County","2012-2013",430.93
"New Kent County","2013-2014",429.22
"New Kent County","2014-2015",439.03
"New Kent County","2015-2016",434.15
"Newport News City","2011-2012",463.44
"Newport News City","2012-2013",425.27
"Newport News City","2013-2014",430.70
"Newport News City","2014-2015",426.44
"Newport News City","2015-2016",428.56
"Norfolk City","2011-2012",467.48
"Norfolk City","2012-2013",426.57
"Norfolk City","2013-2014",426.46
"Norfolk City","2014-2015",427.45
"Norfolk City","2015-2016",427.19
"Northampton County","2011-2012",477.60
"Northampton County","2012-2013",429.52
"Northampton County","2013-2014",433.08
"Northampton County","2014-2015",432.24
"Northampton County","2015-2016",419.99
"Northumberland County","2011-2012",471.58
"Northumberland County","2012-2013",432.72
"Northumberland County","2013-2014",440.23
"Northumberland County","2014-2015",425.13
"Northumberland County","2015-2016",421.69
"Norton City","2011-2012",503.96
"Norton City","2012-2013",443.36
"Norton City","2013-2014",440.66
"Norton City","2014-2015",439.73
"Norton City","2015-2016",439.71
"Nottoway County","2011-2012",482.39
"Nottoway County","2012-2013",431.24
"Nottoway County","2013-2014",430.99
"Nottoway County","2014-2015",433.79
"Nottoway County","2015-2016",426.58
"Orange County","2011-2012",479.48
"Orange County","2012-2013",424.46
"Orange County","2013-2014",424.42
"Orange County","2014-2015",425.95
"Orange County","2015-2016",430.05
"Page County","2011-2012",474.96
"Page County","2012-2013",426.81
"Page County","2013-2014",421.42
"Page County","2014-2015",422.70
"Page County","2015-2016",429.39
"Patrick County","2011-2012",491.17
"Patrick County","2012-2013",438.06
"Patrick County","2013-2014",436.06
"Patrick County","2014-2015",430.95
"Patrick County","2015-2016",432.91
"Petersburg City","2011-2012",432.76
"Petersburg City","2012-2013",413.45
"Petersburg City","2013-2014",408.60
"Petersburg City","2014-2015",409.88
"Petersburg City","2015-2016",404.91
"Pittsylvania County","2011-2012",474.02
"Pittsylvania County","2012-2013",429.56
"Pittsylvania County","2013-2014",432.29
"Pittsylvania County","2014-2015",430.21
"Pittsylvania County","2015-2016",432.45
"Poquoson City","2011-2012",511.90
"Poquoson City","2012-2013",446.45
"Poquoson City","2013-2014",451.78
"Poquoson City","2014-2015",451.81
"Poquoson City","2015-2016",448.60
"Portsmouth City","2011-2012",453.08
"Portsmouth City","2012-2013",419.22
"Portsmouth City","2013-2014",420.70
"Portsmouth City","2014-2015",421.46
"Portsmouth City","2015-2016",421.03
"Powhatan County","2011-2012",483.89
"Powhatan County","2012-2013",439.54
"Powhatan County","2013-2014",445.95
"Powhatan County","2014-2015",426.81
"Powhatan County","2015-2016",435.27
"Prince Edward County","2011-2012",466.91
"Prince Edward County","2012-2013",429.57
"Prince Edward County","2013-2014",429.09
"Prince Edward County","2014-2015",435.07
"Prince Edward County","2015-2016",432.32
"Prince George County","2011-2012",475.17
"Prince George County","2012-2013",432.93
"Prince George County","2013-2014",430.63
"Prince George County","2014-2015",427.30
"Prince George County","2015-2016",435.35
"Prince William County","2011-2012",473.27
"Prince William County","2012-2013",431.30
"Prince William County","2013-2014",435.04
"Prince William County","2014-2015",432.67
"Prince William County","2015-2016",432.62
"Pulaski County","2011-2012",457.32
"Pulaski County","2012-2013",417.58
"Pulaski County","2013-2014",420.47
"Pulaski County","2014-2015",417.37
"Pulaski County","2015-2016",418.19
"Radford City","2011-2012",507.34
"Radford City","2012-2013",451.19
"Radford City","2013-2014",431.38
"Radford City","2014-2015",427.45
"Radford City","2015-2016",446.51
"Rappahannock County","2011-2012",495.30
"Rappahannock County","2012-2013",450.92
"Rappahannock County","2013-2014",440.89
"Rappahannock County","2014-2015",440.64
"Rappahannock County","2015-2016",445.32
"Richmond City","2011-2012",469.32
"Richmond City","2012-2013",425.68
"Richmond City","2013-2014",424.49
"Richmond City","2014-2015",421.93
"Richmond City","2015-2016",419.06
"Richmond County","2011-2012",499.44
"Richmond County","2012-2013",431.19
"Richmond County","2013-2014",433.69
"Richmond County","2014-2015",432.82
"Richmond County","2015-2016",433.58
"Roanoke City","2011-2012",447.79
"Roanoke City","2012-2013",408.13
"Roanoke City","2013-2014",420.49
"Roanoke City","2014-2015",421.25
"Roanoke City","2015-2016",418.65
"Roanoke County","2011-2012",489.55
"Roanoke County","2012-2013",439.81
"Roanoke County","2013-2014",438.65
"Roanoke County","2014-2015",438.30
"Roanoke County","2015-2016",436.18
"Rockbridge County","2011-2012",468.82
"Rockbridge County","2012-2013",417.39
"Rockbridge County","2013-2014",433.12
"Rockbridge County","2014-2015",428.29
"Rockbridge County","2015-2016",450.73
"Rockingham County","2011-2012",477.30
"Rockingham County","2012-2013",424.91
"Rockingham County","2013-2014",430.56
"Rockingham County","2014-2015",428.64
"Rockingham County","2015-2016",433.47
"Russell County","2011-2012",478.74
"Russell County","2012-2013",427.08
"Russell County","2013-2014",431.83
"Russell County","2014-2015",432.18
"Russell County","2015-2016",436.38
"Salem City","2011-2012",488.23
"Salem City","2012-2013",437.75
"Salem City","2013-2014",439.79
"Salem City","2014-2015",434.38
"Salem City","2015-2016",444.14
"Scott County","2011-2012",483.82
"Scott County","2012-2013",434.22
"Scott County","2013-2014",437.43
"Scott County","2014-2015",440.27
"Scott County","2015-2016",441.78
"Shenandoah County","2011-2012",472.86
"Shenandoah County","2012-2013",429.83
"Shenandoah County","2013-2014",428.90
"Shenandoah County","2014-2015",427.33
"Shenandoah County","2015-2016",429.21
"Smyth County","2011-2012",476.76
"Smyth County","2012-2013",429.36
"Smyth County","2013-2014",428.41
"Smyth County","2014-2015",436.77
"Smyth County","2015-2016",430.12
"Southampton County","2011-2012",468.90
"Southampton County","2012-2013",434.28
"Southampton County","2013-2014",438.90
"Southampton County","2014-2015",435.32
"Southampton County","2015-2016",436.40
"Spotsylvania County","2011-2012",467.87
"Spotsylvania County","2012-2013",431.69
"Spotsylvania County","2013-2014",430.35
"Spotsylvania County","2014-2015",425.59
"Spotsylvania County","2015-2016",430.29
"Stafford County","2011-2012",481.75
"Stafford County","2012-2013",436.72
"Stafford County","2013-2014",436.44
"Stafford County","2014-2015",434.48
"Stafford County","2015-2016",432.14
"Staunton City","2011-2012",479.39
"Staunton City","2012-2013",430.70
"Staunton City","2013-2014",432.00
"Staunton City","2014-2015",424.45
"Staunton City","2015-2016",427.39
"Suffolk City","2011-2012",465.78
"Suffolk City","2012-2013",423.96
"Suffolk City","2013-2014",426.83
"Suffolk City","2014-2015",425.25
"Suffolk City","2015-2016",422.96
"Surry County","2011-2012",486.79
"Surry County","2012-2013",422.00
"Surry County","2013-2014",438.55
"Surry County","2014-2015",430.26
"Surry County","2015-2016",432.75
"Sussex County","2011-2012",468.77
"Sussex County","2012-2013",422.04
"Sussex County","2013-2014",427.68
"Sussex County","2014-2015",420.62
"Sussex County","2015-2016",436.65
"Tazewell County","2011-2012",476.38
"Tazewell County","2012-2013",428.63
"Tazewell County","2013-2014",431.68
"Tazewell County","2014-2015",435.86
"Tazewell County","2015-2016",437.53
"Virginia Beach City","2011-2012",483.49
"Virginia Beach City","2012-2013",436.50
"Virginia Beach City","2013-2014",439.04
"Virginia Beach City","2014-2015",436.35
"Virginia Beach City","2015-2016",437.93
"Warren County","2011-2012",470.68
"Warren County","2012-2013",422.34
"Warren County","2013-2014",428.71
"Warren County","2014-2015",424.77
"Warren County","2015-2016",427.66
"Washington County","2011-2012",494.90
"Washington County","2012-2013",441.30
"Washington County","2013-2014",436.88
"Washington County","2014-2015",436.50
"Washington County","2015-2016",445.42
"Waynesboro City","2011-2012",463.33
"Waynesboro City","2012-2013",431.62
"Waynesboro City","2013-2014",429.51
"Waynesboro City","2014-2015",424.95
"Waynesboro City","2015-2016",435.77
"West Point","2011-2012",535.15
"West Point","2012-2013",471.83
"West Point","2013-2014",465.86
"West Point","2014-2015",460.08
"West Point","2015-2016",463.32
"Westmoreland County","2011-2012",477.23
"Westmoreland County","2012-2013",417.87
"Westmoreland County","2013-2014",422.03
"Westmoreland County","2014-2015",423.56
"Westmoreland County","2015-2016",424.09
"Williamsburg-James City County","2011-2012",486.80
"Williamsburg-James City County","2012-2013",435.59
"Williamsburg-James City County","2013-2014",436.48
"Williamsburg-James City County","2014-2015",438.81
"Williamsburg-James City County","2015-2016",439.30
"Winchester City","2011-2012",481.25
"Winchester City","2012-2013",427.81
"Winchester City","2013-2014",428.65
"Winchester City","2014-2015",436.91
"Winchester City","2015-2016",433.32
"Wise County","2011-2012",473.95
"Wise County","2012-2013",430.23
"Wise County","2013-2014",430.03
"Wise County","2014-2015",436.98
"Wise County","2015-2016",441.33
"Wythe County","2011-2012",467.96
"Wythe County","2012-2013",424.90
"Wythe County","2013-2014",432.41
"Wythe County","2014-2015",433.99
"Wythe County","2015-2016",437.73
"York County","2011-2012",495.47
"York County","2012-2013",446.57
"York County","2013-2014",446.04
"York County","2014-2015",443.46
"York County","2015-2016",447.67
