"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
"Danville City","2014-2015",443.40
"Danville City","2015-2016",436.71
"Dickenson County","2011-2012",455.84
"Dickenson County","2012-2013",440.70
"Dickenson County","2013-2014",447.93
"Dickenson County","2014-2015",446.78
"Dickenson County","2015-2016",459.25
"Dinwiddie County","2011-2012",455.20
"Dinwiddie County","2012-2013",430.95
"Dinwiddie County","2013-2014",448.10
"Dinwiddie County","2014-2015",452.83
"Dinwiddie County","2015-2016",453.08
"Essex County","2011-2012",444.80
"Essex County","2012-2013",424.68
"Essex County","2013-2014",432.59
"Essex County","2014-2015",416.65
"Essex County","2015-2016",427.42
"Fairfax County","2011-2012",474.78
"Fairfax County","2012-2013",451.75
"Fairfax County","2013-2014",472.26
"Fairfax County","2014-2015",465.21
"Fairfax County","2015-2016",467.15
"Falls Church City","2011-2012",479.83
"Falls Church City","2012-2013",464.49
"Falls Church City","2013-2014",482.35
"Falls Church City","2014-2015",486.59
"Falls Church City","2015-2016",482.65
"Fauquier County","2011-2012",459.33
"Fauquier County","2012-2013",440.53
"Fauquier County","2013-2014",455.20
"Fauquier County","2014-2015",456.37
"Fauquier County","2015-2016",451.48
"Floyd County","2011-2012",469.48
"Floyd County","2012-2013",442.04
"Floyd County","2013-2014",453.07
"Floyd County","2014-2015",454.78
"Floyd County","2015-2016",447.51
"Fluvanna County","2011-2012",448.19
"Fluvanna County","2012-2013",435.04
"Fluvanna County","2013-2014",450.62
"Fluvanna County","2014-2015",442.75
"Fluvanna County","2015-2016",447.87
"Franklin City","2011-2012",429.79
"Franklin City","2012-2013",418.86
"Franklin City","2013-2014",440.40
"Franklin City","2014-2015",458.87
"Franklin City","2015-2016",454.20
"Franklin County","2011-2012",475.21
"Franklin County","2012-2013",434.65
"Franklin County","2013-2014",471.17
"Franklin County","2014-2015",467.78
"Franklin County","2015-2016",462.37
"Frederick County","2011-2012",465.29
"Frederick County","2012-2013",449.19
"Frederick County","2013-2014",457.40
"Frederick County","2014-2015",454.47
"Frederick County","2015-2016",457.21
"Fredericksburg City","2011-2012",452.26
"Fredericksburg City","2012-2013",439.78
"Fredericksburg City","2013-2014",446.06
"Fredericksburg City","2014-2015",443.34
"Fredericksburg City","2015-2016",442.76
"Galax City","2011-2012",445.23
"Galax City","2012-2013",436.64
"Galax City","2013-2014",440.59
"Galax City","2014-2015",455.31
"Galax City","2015-2016",435.27
"Giles County","2011-2012",457.36
"Giles County","2012-2013",436.82
"Giles County","2013-2014",460.26
"Giles County","2014-2015",457.47
"Giles County","2015-2016",458.18
"Gloucester County","2011-2012",450.76
"Gloucester County","2012-2013",431.00
"Gloucester County","2013-2014",450.52
"Gloucester County","2014-2015",453.98
"Gloucester County","2015-2016",452.32
"Goochland County","2011-2012",464.68
"Goochland County","2012-2013",440.05
"Goochland County","2013-2014",463.74
"Goochland County","2014-2015",470.87
"Goochland County","2015-2016",470.51
"Grayson County","2011-2012",453.00
"Grayson County","2012-2013",439.82
"Grayson County","2013-2014",449.38
"Grayson County","2014-2015",448.95
"Grayson County","2015-2016",453.75
"Greene County","2011-2012",438.99
"Greene County","2012-2013",443.47
"Greene County","2013-2014",443.11
"Greene County","2014-2015",447.01
"Greene County","2015-2016",444.06
"Greensville County","2011-2012",454.08
"Greensville County","2012-2013",441.72
"Greensville County","2013-2014",446.71
"Greensville County","2014-2015",452.47
"Greensville County","2015-2016",449.31
"Halifax County","2011-2012",451.10
"Halifax County","2012-2013",431.67
"Halifax County","2013-2014",443.55
"Halifax County","2014-2015",446.12
"Halifax County","2015-2016",438.58
"Hampton City","2011-2012",454.31
"Hampton City","2012-2013",434.45
"Hampton City","2013-2014",451.14
"Hampton City","2014-2015",455.21
"Hampton City","2015-2016",451.53
"Hanover County","2011-2012",467.77
"Hanover County","2012-2013",443.66
"Hanover County","2013-2014",459.80
"Hanover County","2014-2015",462.88
"Hanover County","2015-2016",457.32
"Harrisonburg City","2011-2012",445.44
"Harrisonburg City","2012-2013",428.43
"Harrisonburg City","2013-2014",448.84
"Harrisonburg City","2014-2015",451.06
"Harrisonburg City","2015-2016",449.49
"Henrico County","2011-2012",466.34
"Henrico County","2012-2013",444.57
"Henrico County","2013-2014",463.33
"Henrico County","2014-2015",461.60
"Henrico County","2015-2016",459.92
"Henry County","2011-2012",462.18
"Henry County","2012-2013",443.29
"Henry County","2013-2014",459.32
"Henry County","2014-2015",458.43
"Henry County","2015-2016",454.27
"Highland County","2011-2012",468.01
"Highland County","2012-2013",430.29
"Highland County","2013-2014",444.63
"Highland County","2014-2015",437.20
"Highland County","2015-2016",423.86
"Hopewell City","2011-2012",441.85
"Hopewell City","2012-2013",433.99
"Hopewell City","2013-2014",443.64
"Hopewell City","2014-2015",440.42
"Hopewell City","2015-2016",440.48
"Isle of Wight County","2011-2012",461.57
"Isle of Wight County","2012-2013",434.39
"Isle of Wight County","2013-2014",463.33
"Isle of Wight County","2014-2015",469.26
"Isle of Wight County","2015-2016",465.84
"King and Queen County","2011-2012",441.34
"King and Queen County","2012-2013",425.52
"King and Queen County","2013-2014",453.26
"King and Queen County","2014-2015",449.75
"King and Queen County","2015-2016",442.39
"King George County","2011-2012",461.12
"King George County","2012-2013",439.00
"King George County","2013-2014",450.13
"King George County","2014-2015",448.77
"King George County","2015-2016",452.83
"King William County","2011-2012",454.05
"King William County","2012-2013",427.54
"King William County","2013-2014",457.32
"King William County","2014-2015",455.01
"King William County","2015-2016",456.26
"Lancaster County","2011-2012",442.33
"Lancaster County","2012-2013",420.55
"Lancaster County","2013-2014",429.43
"Lancaster County","2014-2015",431.92
"Lancaster County","2015-2016",426.95
"Lee County","2011-2012",465.08
"Lee County","2012-2013",432.82
"Lee County","2013-2014",453.44
"Lee County","2014-2015",457.73
"Lee County","2015-2016",452.05
"Lexington City","2011-2012",496.01
"Lexington City","2013-2014",487.85
"Lexington City","2014-2015",495.33
"Lexington City","2015-2016",492.13
"Loudoun County","2011-2012",474.38
"Loudoun County","2012-2013",448.35
"Loudoun County","2013-2014",469.73
"Loudoun County","2014-2015",470.58
"Loudoun County","2015-2016",471.38
"Louisa County","2011-2012",460.37
"Louisa County","2012-2013",457.99
"Louisa County","2013-2014",466.45
"Louisa County","2014-2015",466.64
"Louisa County","2015-2016",463.23
"Lunenburg County","2011-2012",450.40
"Lunenburg County","2012-2013",434.15
"Lunenburg County","2013-2014",450.56
"Lunenburg County","2014-2015",444.57
"Lunenburg County","2015-2016",444.62
"Lynchburg City","2011-2012",448.26
"Lynchburg City","2012-2013",429.49
"Lynchburg City","2013-2014",443.65
"Lynchburg City","2014-2015",450.18
"Lynchburg City","2015-2016",449.68
"Madison County","2011-2012",450.92
"Madison County","2012-2013",442.95
"Madison County","2013-2014",450.45
"Madison County","2014-2015",452.72
"Madison County","2015-2016",450.09
"Manassas City","2011-2012",442.25
"Manassas City","2012-2013",411.29
"Manassas City","2013-2014",441.12
"Manassas City","2014-2015",446.58
"Manassas City","2015-2016",445.46
"Manassas Park City","2011-2012",452.11
"Manassas Park City","2012-2013",431.93
"Manassas Park City","2013-2014",451.97
"Manassas Park City","2014-2015",448.10
"Manassas Park City","2015-2016",451.53
"Martinsville City","2011-2012",458.56
"Martinsville City","2012-2013",424.68
"Martinsville City","2013-2014",442.63
"Martinsville City","2014-2015",429.07
"Martinsville City","2015-2016",428.61
"Mathews County","2011-2012",459.93
"Mathews County","2012-2013",424.45
"Mathews County","2013-2014",453.07
"Mathews County","2014-2015",450.40
"Mathews County","2015-2016",448.41
"Mecklenburg County","2011-2012",458.37
"Mecklenburg County","2012-2013",427.89
"Mecklenburg County","2013-2014",442.64
"Mecklenburg County","2014-2015",445.47
"Mecklenburg County","2015-2016",449.50
"Middlesex County","2011-2012",470.12
"Middlesex County","2012-2013",443.91
"Middlesex County","2013-2014",467.97
"Middlesex County","2014-2015",467.72
"Middlesex County","2015-2016",468.55
"Montgomery County","2011-2012",455.11
"Montgomery County","2012-2013",434.13
"Montgomery County","2013-2014",455.43
"Montgomery County","2014-2015",455.72
"Montgomery County","2015-2016",454.46
"Nelson County","2011-2012",468.24
"Nelson County","2012-2013",452.00
"Nelson County","2013-2014",469.79
"Nelson County","2014-2015",463.93
"Nelson County","2015-2016",457.18
"New Kent County","2011-2012",463.82
"New Kent County","2012-2013",446.04
"New Kent County","2013-2014",458.71
"New Kent County","2014-2015",460.67
"New Kent County","2015-2016",457.68
"Newport News City","2011-2012",446.23
"Newport News City","2012-2013",430.30
"Newport News City","2013-2014",442.90
"Newport News City","2014-2015",447.66
"Newport News City","2015-2016",446.14
"Norfolk City","2011-2012",445.93
"Norfolk City","2012-2013",430.45
"Norfolk City","2013-2014",440.75
"Norfolk City","2014-2015",447.42
"Norfolk City","2015-2016",446.68
"Northampton County","2011-2012",446.62
"Northampton County","2012-2013",427.11
"Northampton County","2013-2014",448.93
"Northampton County","2014-2015",439.57
"Northampton County","2015-2016",431.70
"Northumberland County","2011-2012",440.69
"Northumberland County","2012-2013",440.23
"Northumberland County","2013-2014",443.52
"Northumberland County","2014-2015",442.87
"Northumberland County","2015-2016",430.15
"Norton City","2011-2012",461.10
"Norton City","2012-2013",446.32
"Norton City","2013-2014",465.23
"Norton City","2014-2015",454.80
"Norton City","2015-2016",456.44
"Nottoway County","2011-2012",451.85
"Nottoway County","2012-2013",431.75
"Nottoway County","2013-2014",455.52
"Nottoway County","2014-2015",448.60
"Nottoway County","2015-2016",446.38
"Orange County","2011-2012",456.30
"Orange County","2012-2013",437.62
"Orange County","2013-2014",459.19
"Orange County","2014-2015",456.96
"Orange County","2015-2016",456.63
"Page County","2011-2012",461.59
"Page County","2012-2013",450.25
"Page County","2013-2014",462.35
"Page County","2014-2015",468.08
"Page County","2015-2016",457.08
"Patrick County","2011-2012",450.98
"Patrick County","2012-2013",439.85
"Patrick County","2013-2014",452.35
"Patrick County","2014-2015",453.29
"Patrick County","2015-2016",456.06
"Petersburg City","2011-2012",432.22
"Petersburg City","2012-2013",425.35
"Petersburg City","2013-2014",422.05
"Petersburg City","2014-2015",439.32
"Petersburg City","2015-2016",434.20
"Pittsylvania County","2011-2012",458.52
"Pittsylvania County","2012-2013",438.82
"Pittsylvania County","2013-2014",454.45
"Pittsylvania County","2014-2015",457.00
"Pittsylvania County","2015-2016",461.80
"Poquoson City","2011-2012",464.67
"Poquoson City","2012-2013",459.93
"Poquoson City","2013-2014",468.11
"Poquoson City","2014-2015",469.89
"Poquoson City","2015-2016",473.33
"Portsmouth City","2011-2012",450.06
"Portsmouth City","2012-2013",434.47
"Portsmouth City","2013-2014",454.54
"Portsmouth City","2014-2015",453.19
"Portsmouth City","2015-2016",451.27
"Powhatan County","2011-2012",461.38
"Powhatan County","2012-2013",450.62
"Powhatan County","2013-2014",460.96
"Powhatan County","2014-2015",454.73
"Powhatan County","2015-2016",448.46
"Prince Edward County","2011-2012",451.17
"Prince Edward County","2012-2013",435.13
"Prince Edward County","2013-2014",451.37
"Prince Edward County","2014-2015",442.87
"Prince Edward County","2015-2016",446.40
"Prince George County","2011-2012",467.10
"Prince George County","2012-2013",436.17
"Prince George County","2013-2014",462.99
"Prince George County","2014-2015",468.18
"Prince George County","2015-2016",468.74
"Prince William County","2011-2012",462.47
"Prince William County","2012-2013",442.36
"Prince William County","2013-2014",461.41
"Prince William County","2014-2015",463.68
"Prince William County","2015-2016",460.24
"Pulaski County","2011-2012",442.86
"Pulaski County","2012-2013",428.45
"Pulaski County","2013-2014",450.94
"Pulaski County","2014-2015",453.68
"Pulaski County","2015-2016",452.51
"Radford City","2011-2012",467.09
"Radford City","2012-2013",432.69
"Radford City","2013-2014",460.98
"Radford City","2014-2015",450.83
"Radford City","2015-2016",455.58
"Rappahannock County","2011-2012",449.47
"Rappahannock County","2012-2013",445.95
"Rappahannock County","2013-2014",455.02
"Rappahannock County","2014-2015",459.30
"Rappahannock County","2015-2016",446.29
"Richmond City","2011-2012",439.71
"Richmond City","2012-2013",423.76
"Richmond City","2013-2014",435.90
"Richmond City","2014-2015",434.23
"Richmond City","2015-2016",432.72
"Richmond County","2011-2012",462.68
"Richmond County","2012-2013",450.86
"Richmond County","2013-2014",464.46
"Richmond County","2014-2015",458.67
"Richmond County","2015-2016",452.77
"Roanoke City","2011-2012",449.42
"Roanoke City","2012-2013",428.93
"Roanoke City","2013-2014",452.99
"Roanoke City","2014-2015",450.44
"Roanoke City","2015-2016",448.05
"Roanoke County","2011-2012",471.37
"Roanoke County","2012-2013",449.63
"Roanoke County","2013-2014",469.74
"Roanoke County","2014-2015",466.41
"Roanoke County","2015-2016",466.77
"Rockbridge County","2011-2012",457.53
"Rockbridge County","2012-2013",446.57
"Rockbridge County","2013-2014",453.22
"Rockbridge County","2014-2015",449.88
"Rockbridge County","2015-2016",453.19
"Rockingham County","2011-2012",461.01
"Rockingham County","2012-2013",438.96
"Rockingham County","2013-2014",455.51
"Rockingham County","2014-2015",447.81
"Rockingham County","2015-2016",462.58
"Russell County","2011-2012",458.35
"Russell County","2012-2013",423.34
"Russell County","2013-2014",447.04
"Russell County","2014-2015",452.22
"Russell County","2015-2016",457.13
"Salem City","2011-2012",466.97
"Salem City","2012-2013",461.35
"Salem City","2013-2014",465.85
"Salem City","2014-2015",471.38
"Salem City","2015-2016",467.71
"Scott County","2011-2012",470.54
"Scott County","2012-2013",453.11
"Scott County","2013-2014",461.49
"Scott County","2014-2015",470.05
"Scott County","2015-2016",477.51
"Shenandoah County","2011-2012",453.23
"Shenandoah County","2012-2013",444.00
"Shenandoah County","2013-2014",453.19
"Shenandoah County","2014-2015",452.55
"Shenandoah County","2015-2016",448.48
"Smyth County","2011-2012",455.71
"Smyth County","2012-2013",440.75
"Smyth County","2013-2014",457.16
"Smyth County","2014-2015",456.95
"Smyth County","2015-2016",454.79
"Southampton County","2011-2012",468.29
"Southampton County","2012-2013",451.92
"Southampton County","2013-2014",453.01
"Southampton County","2014-2015",462.87
"Southampton County","2015-2016",466.69
"Spotsylvania County","2011-2012",456.80
"Spotsylvania County","2012-2013",429.63
"Spotsylvania County","2013-2014",448.62
"Spotsylvania County","2014-2015",448.56
"Spotsylvania County","2015-2016",445.13
"Stafford County","2011-2012",464.32
"Stafford County","2012-2013",448.94
"Stafford County","2013-2014",456.82
"Stafford County","2014-2015",458.86
"Stafford County","2015-2016",455.15
"Staunton City","2011-2012",442.27
"Staunton City","2012-2013",419.14
"Staunton City","2013-2014",435.15
"Staunton City","2014-2015",434.01
"Staunton City","2015-2016",439.30
"Suffolk City","2011-2012",453.43
"Suffolk City","2012-2013",432.35
"Suffolk City","2013-2014",452.67
"Suffolk City","2014-2015",452.66
"Suffolk City","2015-2016",451.12
"Surry County","2011-2012",446.91
"Surry County","2012-2013",426.25
"Surry County","2013-2014",447.77
"Surry County","2014-2015",440.31
"Surry County","2015-2016",434.71
"Sussex County","2011-2012",429.35
"Sussex County","2012-2013",421.25
"Sussex County","2013-2014",432.54
"Sussex County","2014-2015",443.34
"Sussex County","2015-2016",441.32
"Tazewell County","2011-2012",459.93
"Tazewell County","2012-2013",431.88
"Tazewell County","2013-2014",457.99
"Tazewell County","2014-2015",460.96
"Tazewell County","2015-2016",460.98
"Virginia Beach City","2011-2012",459.33
"Virginia Beach City","2012-2013",432.67
"Virginia Beach City","2013-2014",453.98
"Virginia Beach City","2014-2015",456.39
"Virginia Beach City","2015-2016",456.88
"Warren County","2011-2012",452.97
"Warren County","2012-2013",441.14
"Warren County","2013-2014",455.42
"Warren County","2014-2015",459.43
"Warren County","2015-2016",457.38
"Washington County","2011-2012",463.19
"Washington County","2012-2013",439.99
"Washington County","2013-2014",460.91
"Washington County","2014-2015",455.18
"Washington County","2015-2016",461.93
"Waynesboro City","2011-2012",449.30
"Waynesboro City","2012-2013",428.88
"Waynesboro City","2013-2014",445.07
"Waynesboro City","2014-2015",437.07
"Waynesboro City","2015-2016",437.94
"West Point","2011-2012",475.32
"West Point","2012-2013",479.88
"West Point","2013-2014",474.68
"West Point","2014-2015",484.84
"West Point","2015-2016",478.93
"Westmoreland County","2011-2012",444.93
"Westmoreland County","2012-2013",433.29
"Westmoreland County","2013-2014",444.62
"Westmoreland County","2014-2015",454.16
"Westmoreland County","2015-2016",452.58
"Williamsburg-James City County","2011-2012",460.21
"Williamsburg-James City County","2012-2013",438.42
"Williamsburg-James City County","2013-2014",460.56
"Williamsburg-James City County","2014-2015",459.01
"Williamsburg-James City County","2015-2016",455.96
"Winchester City","2011-2012",449.95
"Winchester City","2012-2013",448.33
"Winchester City","2013-2014",446.55
"Winchester City","2014-2015",449.55
"Winchester City","2015-2016",449.42
"Wise County","2011-2012",468.45
"Wise County","2012-2013",451.06
"Wise County","2013-2014",479.57
"Wise County","2014-2015",469.19
"Wise County","2015-2016",469.98
"Wythe County","2011-2012",461.27
"Wythe County","2012-2013",448.01
"Wythe County","2013-2014",460.68
"Wythe County","2014-2015",458.19
"Wythe County","2015-2016",469.37
"York County","2011-2012",467.68
"York County","2012-2013",447.66
"York County","2013-2014",461.52
"York County","2014-2015",461.37
"York County","2015-2016",463.80
