"DIV_NAME","SCHOOL_YEAR","AvgOfAVG_SOL_SCALE_SCORE"
"Botetourt County","2014-2015",444.76
"Botetourt County","2015-2016",449.01
"Bristol City","2011-2012",425.80
"Bristol City","2012-2013",433.45
"Bristol City","2013-2014",439.35
"Bristol City","2014-2015",443.11
"Bristol City","2015-2016",437.20
"Brunswick County","2011-2012",395.27
"Brunswick County","2012-2013",399.42
"Brunswick County","2013-2014",410.41
"Brunswick County","2014-2015",391.88
"Brunswick County","2015-2016",409.48
"Buchanan County","2011-2012",415.87
"Buchanan County","2012-2013",420.78
"Buchanan County","2013-2014",413.65
"Buchanan County","2014-2015",423.82
"Buchanan County","2015-2016",435.60
"Buckingham County","2011-2012",421.04
"Buckingham County","2012-2013",417.48
"Buckingham County","2013-2014",427.43
"Buckingham County","2014-2015",429.72
"Buckingham County","2015-2016",432.22
"Buena Vista City","2011-2012",401.02
"Buena Vista City","2012-2013",403.06
"Buena Vista City","2013-2014",407.52
"Buena Vista City","2014-2015",408.10
"Buena Vista City","2015-2016",421.05
"Campbell County","2011-2012",414.07
"Campbell County","2012-2013",424.52
"Campbell County","2013-2014",425.41
"Campbell County","2014-2015",422.96
"Campbell County","2015-2016",426.95
"Caroline County","2011-2012",416.53
"Caroline County","2012-2013",426.78
"Caroline County","2013-2014",425.02
"Caroline County","2014-2015",420.04
"Caroline County","2015-2016",428.16
"Carroll County","2011-2012",414.48
"Carroll County","2012-2013",424.09
"Carroll County","2013-2014",419.80
"Carroll County","2014-2015",420.13
"Carroll County","2015-2016",425.47
"Charles City County","2011-2012",388.28
"Charles City County","2012-2013",390.16
"Charles City County","2013-2014",416.32
"Charles City County","2014-2015",425.05
"Charles City County","2015-2016",428.22
"Charlotte County","2011-2012",414.56
"Charlotte County","2012-2013",422.32
"Charlotte County","2013-2014",422.13
"Charlotte County","2014-2015",439.69
"Charlotte County","2015-2016",436.50
"Charlottesville City","2011-2012",428.99
"Charlottesville City","2012-2013",428.84
"Charlottesville City","2013-2014",431.09
"Charlottesville City","2014-2015",431.43
"Charlottesville City","2015-2016",437.38
"Chesapeake City","2011-2012",429.34
"Chesapeake City","2012-2013",436.04
"Chesapeake City","2013-2014",442.78
"Chesapeake City","2014-2015",450.39
"Chesapeake City","2015-2016",451.64
"Chesterfield County","2011-2012",419.76
"Chesterfield County","2012-2013",421.52
"Chesterfield County","2013-2014",428.89
"Chesterfield County","2014-2015",433.11
"Chesterfield County","2015-2016",434.87
"Clarke County","2011-2012",412.16
"Clarke County","2012-2013",424.10
"Clarke County","2013-2014",420.60
"Clarke County","2014-2015",426.64
"Clarke County","2015-2016",434.92
"Colonial Beach","2011-2012",400.39
"Colonial Beach","2012-2013",426.38
"Colonial Beach","2013-2014",397.80
"Colonial Beach","2014-2015",406.13
"Colonial Beach","2015-2016",418.17
"Colonial Heights City","2011-2012",411.05
"Colonial Heights City","2012-2013",424.55
"Colonial Heights City","2013-2014",425.66
"Colonial Heights City","2014-2015",427.21
"Colonial Heights City","2015-2016",428.35
"Covington City","2011-2012",400.03
"Covington City","2012-2013",400.22
"Covington City","2013-2014",412.57
"Covington City","2014-2015",412.18
"Covington City","2015-2016",419.30
"Craig County","2011-2012",431.79
"Craig County","2012-2013",431.03
"Craig County","2013-2014",436.64
"Craig County","2014-2015",439.01
"Craig County","2015-2016",431.45
"Culpeper County","2011-2012",410.60
"Culpeper County","2012-2013",419.35
"Culpeper County","2013-2014",427.55
"Culpeper County","2014-2015",428.92
"Culpeper County","2015-2016",439.01
"Cumberland County","2011-2012",407.07
"Cumberland County","2012-2013",413.85
"Cumberland County","2013-2014",427.26
"Cumberland County","2014-2015",414.22
"Cumberland County","2015-2016",430.76
"Danville City","2011-2012",426.52
"Danville City","2012-2013",424.36
"Danville City","2013-2014",423.82
"Danville City","2014-2015",422.39
"Danville City","2015-2016",428.28
"Dickenson County","2011-2012",407.92
"Dickenson County","2012-2013",410.68
"Dickenson County","2013-2014",424.76
"Dickenson County","2014-2015",421.93
"Dickenson County","2015-2016",429.32
"Dinwiddie County","2011-2012",399.39
"Dinwiddie County","2012-2013",408.04
"Dinwiddie County","2013-2014",416.07
"Dinwiddie County","2014-2015",411.91
"Dinwiddie County","2015-2016",429.15
"Essex County","2011-2012",405.36
"Essex County","2012-2013",412.27
"Essex County","2013-2014",403.41
"Essex County","2014-2015",415.25
"Essex County","2015-2016",409.45
"Fairfax County","2011-2012",440.38
"Fairfax County","2012-2013",439.88
"Fairfax County","2013-2014",448.16
"Fairfax County","2014-2015",448.47
"Fairfax County","2015-2016",449.31
"Falls Church City","2011-2012",454.55
"Falls Church City","2012-2013",457.46
"Falls Church City","2013-2014",465.81
"Falls Church City","2014-2015",459.19
"Falls Church City","2015-2016",457.18
"Fauquier County","2011-2012",422.37
"Fauquier County","2012-2013",424.64
"Fauquier County","2013-2014",427.28
"Fauquier County","2014-2015",431.72
"Fauquier County","2015-2016",428.46
"Floyd County","2011-2012",422.23
"Floyd County","2012-2013",421.26
"Floyd County","2013-2014",423.38
"Floyd County","2014-2015",426.70
"Floyd County","2015-2016",431.54
"Fluvanna County","2011-2012",434.66
"Fluvanna County","2012-2013",438.01
"Fluvanna County","2013-2014",431.63
"Fluvanna County","2014-2015",430.07
"Fluvanna County","2015-2016",435.75
"Franklin City","2011-2012",386.22
"Franklin City","2012-2013",395.69
"Franklin City","2013-2014",409.57
"Franklin City","2014-2015",412.67
"Franklin City","2015-2016",414.22
"Franklin County","2011-2012",430.86
"Franklin County","2012-2013",426.98
"Franklin County","2013-2014",431.69
"Franklin County","2014-2015",438.65
"Franklin County","2015-2016",442.35
"Frederick County","2011-2012",416.35
"Frederick County","2012-2013",419.68
"Frederick County","2013-2014",431.32
"Frederick County","2014-2015",432.14
"Frederick County","2015-2016",436.19
"Fredericksburg City","2011-2012",418.75
"Fredericksburg City","2012-2013",423.28
"Fredericksburg City","2013-2014",435.95
"Fredericksburg City","2014-2015",435.27
"Fredericksburg City","2015-2016",436.65
"Galax City","2011-2012",412.49
"Galax City","2012-2013",418.67
"Galax City","2013-2014",422.36
"Galax City","2014-2015",423.51
"Galax City","2015-2016",423.27
"Giles County","2011-2012",408.63
"Giles County","2012-2013",412.96
"Giles County","2013-2014",425.03
"Giles County","2014-2015",436.45
"Giles County","2015-2016",431.87
"Gloucester County","2011-2012",413.62
"Gloucester County","2012-2013",414.19
"Gloucester County","2013-2014",410.66
"Gloucester County","2014-2015",418.89
"Gloucester County","2015-2016",424.62
"Goochland County","2011-2012",414.41
"Goochland County","2012-2013",416.31
"Goochland County","2013-2014",416.82
"Goochland County","2014-2015",419.43
"Goochland County","2015-2016",420.65
"Grayson County","2011-2012",407.31
"Grayson County","2012-2013",416.20
"Grayson County","2013-2014",410.50
"Grayson County","2014-2015",423.83
"Grayson County","2015-2016",417.18
"Greene County","2011-2012",426.93
"Greene County","2012-2013",423.08
"Greene County","2013-2014",440.04
"Greene County","2014-2015",439.68
"Greene County","2015-2016",439.64
"Greensville County","2011-2012",416.83
"Greensville County","2012-2013",420.49
"Greensville County","2013-2014",419.45
"Greensville County","2014-2015",416.91
"Greensville County","2015-2016",407.39
"Halifax County","2011-2012",419.40
"Halifax County","2012-2013",422.91
"Halifax County","2013-2014",422.69
"Halifax County","2014-2015",419.40
"Halifax County","2015-2016",417.05
"Hampton City","2011-2012",412.91
"Hampton City","2012-2013",420.76
"Hampton City","2013-2014",421.57
"Hampton City","2014-2015",428.93
"Hampton City","2015-2016",431.05
"Hanover County","2011-2012",424.55
"Hanover County","2012-2013",427.87
"Hanover County","2013-2014",432.19
"Hanover County","2014-2015",436.68
"Hanover County","2015-2016",437.54
"Harrisonburg City","2011-2012",426.04
"Harrisonburg City","2012-2013",427.97
"Harrisonburg City","2013-2014",432.77
"Harrisonburg City","2014-2015",438.25
"Harrisonburg City","2015-2016",432.28
"Henrico County","2011-2012",426.41
"Henrico County","2012-2013",431.82
"Henrico County","2013-2014",435.34
"Henrico County","2014-2015",439.93
"Henrico County","2015-2016",435.62
"Henry County","2011-2012",416.78
"Henry County","2012-2013",422.95
"Henry County","2013-2014",428.01
"Henry County","2014-2015",436.48
"Henry County","2015-2016",438.08
"Highland County","2011-2012",427.22
"Highland County","2012-2013",412.17
"Highland County","2013-2014",390.01
"Highland County","2014-2015",423.25
"Highland County","2015-2016",417.16
"Hopewell City","2011-2012",395.90
"Hopewell City","2012-2013",414.24
"Hopewell City","2013-2014",435.86
"Hopewell City","2014-2015",432.68
"Hopewell City","2015-2016",431.35
"Isle of Wight County","2011-2012",419.22
"Isle of Wight County","2012-2013",414.51
"Isle of Wight County","2013-2014",427.63
"Isle of Wight County","2014-2015",436.66
"Isle of Wight County","2015-2016",433.57
"King and Queen County","2011-2012",385.81
"King and Queen County","2012-2013",411.13
"King and Queen County","2013-2014",428.20
"King and Queen County","2014-2015",426.52
"King and Queen County","2015-2016",427.74
"King George County","2011-2012",429.91
"King George County","2012-2013",417.87
"King George County","2013-2014",419.34
"King George County","2014-2015",419.55
"King George County","2015-2016",426.40
"King William County","2011-2012",416.26
"King William County","2012-2013",415.02
"King William County","2013-2014",422.49
"King William County","2014-2015",419.88
"King William County","2015-2016",424.95
"Lancaster County","2011-2012",402.19
"Lancaster County","2012-2013",400.25
"Lancaster County","2013-2014",419.60
"Lancaster County","2014-2015",433.84
"Lancaster County","2015-2016",391.81
"Lee County","2011-2012",407.16
"Lee County","2012-2013",405.01
"Lee County","2013-2014",406.96
"Lee County","2014-2015",421.69
"Lee County","2015-2016",423.73
"Lexington City","2011-2012",494.91
"Lexington City","2012-2013",501.00
"Lexington City","2013-2014",498.16
"Lexington City","2014-2015",514.33
"Lexington City","2015-2016",480.85
"Loudoun County","2011-2012",428.63
"Loudoun County","2012-2013",434.39
"Loudoun County","2013-2014",436.22
"Loudoun County","2014-2015",443.96
"Loudoun County","2015-2016",443.69
"Louisa County","2011-2012",424.87
"Louisa County","2012-2013",428.61
"Louisa County","2013-2014",431.20
"Louisa County","2014-2015",433.94
"Louisa County","2015-2016",435.49
"Lunenburg County","2011-2012",409.31
"Lunenburg County","2012-2013",417.17
"Lunenburg County","2013-2014",423.40
"Lunenburg County","2014-2015",427.71
"Lunenburg County","2015-2016",427.95
"Lynchburg City","2011-2012",403.31
"Lynchburg City","2012-2013",405.29
"Lynchburg City","2013-2014",408.52
"Lynchburg City","2014-2015",413.66
"Lynchburg City","2015-2016",423.87
"Madison County","2011-2012",420.27
"Madison County","2012-2013",423.79
"Madison County","2013-2014",428.63
"Madison County","2014-2015",432.83
"Madison County","2015-2016",426.26
"Manassas City","2011-2012",396.75
"Manassas City","2012-2013",402.76
"Manassas City","2013-2014",436.89
"Manassas City","2014-2015",437.77
"Manassas City","2015-2016",432.42
"Manassas Park City","2011-2012",419.75
"Manassas Park City","2012-2013",415.60
"Manassas Park City","2013-2014",441.91
"Manassas Park City","2014-2015",432.86
"Manassas Park City","2015-2016",442.03
"Martinsville City","2011-2012",404.54
"Martinsville City","2012-2013",406.99
"Martinsville City","2013-2014",403.52
"Martinsville City","2014-2015",405.92
"Martinsville City","2015-2016",411.10
"Mathews County","2011-2012",405.57
"Mathews County","2012-2013",419.87
"Mathews County","2013-2014",427.70
"Mathews County","2014-2015",426.35
"Mathews County","2015-2016",417.40
"Mecklenburg County","2011-2012",409.78
"Mecklenburg County","2012-2013",410.61
"Mecklenburg County","2013-2014",412.03
"Mecklenburg County","2014-2015",426.95
"Mecklenburg County","2015-2016",435.29
"Middlesex County","2011-2012",412.47
"Middlesex County","2012-2013",419.05
"Middlesex County","2013-2014",435.17
"Middlesex County","2014-2015",439.82
"Middlesex County","2015-2016",439.18
"Montgomery County","2011-2012",412.02
"Montgomery County","2012-2013",422.87
"Montgomery County","2013-2014",438.48
"Montgomery County","2014-2015",443.06
"Montgomery County","2015-2016",454.63
"Nelson County","2011-2012",430.71
"Nelson County","2012-2013",440.32
"Nelson County","2013-2014",439.50
"Nelson County","2014-2015",439.74
"Nelson County","2015-2016",440.42
"New Kent County","2011-2012",412.12
"New Kent County","2012-2013",425.58
"New Kent County","2013-2014",426.31
"New Kent County","2014-2015",435.15
"New Kent County","2015-2016",440.77
"Newport News City","2011-2012",412.53
"Newport News City","2012-2013",417.01
"Newport News City","2013-2014",421.36
"Newport News City","2014-2015",427.76
"Newport News City","2015-2016",429.94
"Norfolk City","2011-2012",410.93
"Norfolk City","2012-2013",416.90
"Norfolk City","2013-2014",427.51
"Norfolk City","2014-2015",433.69
"Norfolk City","2015-2016",432.11
"Northampton County","2011-2012",406.93
"Northampton County","2012-2013",410.10
"Northampton County","2013-2014",425.57
"Northampton County","2014-2015",424.75
"Northampton County","2015-2016",421.70
"Northumberland County","2011-2012",422.88
"Northumberland County","2012-2013",413.74
"Northumberland County","2013-2014",415.11
"Northumberland County","2014-2015",422.59
"Northumberland County","2015-2016",420.78
"Norton City","2011-2012",409.41
"Norton City","2012-2013",424.42
"Norton City","2013-2014",439.54
"Norton City","2014-2015",432.54
"Norton City","2015-2016",448.96
"Nottoway County","2011-2012",399.67
"Nottoway County","2012-2013",408.57
"Nottoway County","2013-2014",424.43
"Nottoway County","2014-2015",434.15
"Nottoway County","2015-2016",435.13
"Orange County","2011-2012",419.97
"Orange County","2012-2013",428.71
"Orange County","2013-2014",425.85
"Orange County","2014-2015",425.24
"Orange County","2015-2016",432.33
"Page County","2011-2012",425.30
"Page County","2012-2013",431.80
"Page County","2013-2014",429.03
"Page County","2014-2015",435.35
"Page County","2015-2016",437.38
"Patrick County","2011-2012",424.84
"Patrick County","2012-2013",426.59
"Patrick County","2013-2014",432.41
"Patrick County","2014-2015",441.16
"Patrick County","2015-2016",439.99
"Petersburg City","2011-2012",400.53
"Petersburg City","2012-2013",404.19
"Petersburg City","2013-2014",416.35
"Petersburg City","2014-2015",409.28
"Petersburg City","2015-2016",416.42
"Pittsylvania County","2011-2012",418.19
"Pittsylvania County","2012-2013",425.60
"Pittsylvania County","2013-2014",423.84
"Pittsylvania County","2014-2015",431.92
"Pittsylvania County","2015-2016",438.22
"Poquoson City","2011-2012",436.43
"Poquoson City","2012-2013",443.75
"Poquoson City","2013-2014",439.46
"Poquoson City","2014-2015",445.34
"Poquoson City","2015-2016",441.81
"Portsmouth City","2011-2012",407.92
"Portsmouth City","2012-2013",416.34
"Portsmouth City","2013-2014",420.01
"Portsmouth City","2014-2015",421.65
"Portsmouth City","2015-2016",424.94
"Powhatan County","2011-2012",414.14
"Powhatan County","2012-2013",411.72
"Powhatan County","2013-2014",411.96
"Powhatan County","2014-2015",416.78
"Powhatan County","2015-2016",415.66
"Prince Edward County","2011-2012",422.72
"Prince Edward County","2012-2013",427.62
"Prince Edward County","2013-2014",424.54
"Prince Edward County","2014-2015",430.32
"Prince Edward County","2015-2016",425.33
"Prince George County","2011-2012",423.41
"Prince George County","2012-2013",417.54
"Prince George County","2013-2014",422.69
"Prince George County","2014-2015",425.77
"Prince George County","2015-2016",428.93
"Prince William County","2011-2012",424.07
"Prince William County","2012-2013",430.72
"Prince William County","2013-2014",437.83
"Prince William County","2014-2015",440.45
"Prince William County","2015-2016",437.84
"Pulaski County","2011-2012",405.36
"Pulaski County","2012-2013",407.25
"Pulaski County","2013-2014",420.59
"Pulaski County","2014-2015",434.93
"Pulaski County","2015-2016",425.54
"Radford City","2011-2012",433.45
"Radford City","2012-2013",429.47
"Radford City","2013-2014",426.01
"Radford City","2014-2015",421.80
"Radford City","2015-2016",420.94
"Rappahannock County","2011-2012",400.05
"Rappahannock County","2012-2013",414.75
"Rappahannock County","2013-2014",434.78
"Rappahannock County","2014-2015",454.83
"Rappahannock County","2015-2016",464.11
"Richmond City","2011-2012",407.40
"Richmond City","2012-2013",405.50
"Richmond City","2013-2014",413.88
"Richmond City","2014-2015",419.73
"Richmond City","2015-2016",415.05
"Richmond County","2011-2012",431.84
"Richmond County","2012-2013",428.39
"Richmond County","2013-2014",429.51
"Richmond County","2014-2015",430.60
"Richmond County","2015-2016",427.79
"Roanoke City","2011-2012",413.34
"Roanoke City","2012-2013",420.41
"Roanoke City","2013-2014",430.11
"Roanoke City","2014-2015",438.97
"Roanoke City","2015-2016",437.14
"Roanoke County","2011-2012",433.23
"Roanoke County","2012-2013",443.64
"Roanoke County","2013-2014",448.11
"Roanoke County","2014-2015",447.82
"Roanoke County","2015-2016",449.77
"Rockbridge County","2011-2012",414.43
"Rockbridge County","2012-2013",431.88
"Rockbridge County","2013-2014",437.76
"Rockbridge County","2014-2015",443.34
"Rockbridge County","2015-2016",453.72
"Rockingham County","2011-2012",436.29
"Rockingham County","2012-2013",435.04
"Rockingham County","2013-2014",453.41
"Rockingham County","2014-2015",452.38
"Rockingham County","2015-2016",449.53
"Russell County","2011-2012",406.82
"Russell County","2012-2013",412.20
"Russell County","2013-2014",422.55
"Russell County","2014-2015",423.64
"Russell County","2015-2016",425.94
"Salem City","2011-2012",428.83
"Salem City","2012-2013",428.59
"Salem City","2013-2014",439.44
"Salem City","2014-2015",453.34
"Salem City","2015-2016",444.09
"Scott County","2011-2012",426.64
"Scott County","2012-2013",425.74
"Scott County","2013-2014",431.38
"Scott County","2014-2015",439.67
"Scott County","2015-2016",444.16
"Shenandoah County","2011-2012",427.72
"Shenandoah County","2012-2013",433.13
"Shenandoah County","2013-2014",442.47
"Shenandoah County","2014-2015",443.50
"Shenandoah County","2015-2016",440.12
"Smyth County","2011-2012",422.04
"Smyth County","2012-2013",417.67
"Smyth County","2013-2014",420.14
"Smyth County","2014-2015",424.53
"Smyth County","2015-2016",431.29
"Southampton County","2011-2012",410.67
"Southampton County","2012-2013",418.69
"Southampton County","2013-2014",437.13
"Southampton County","2014-2015",457.53
"Southampton County","2015-2016",462.94
"Spotsylvania County","2011-2012",419.22
"Spotsylvania County","2012-2013",421.31
"Spotsylvania County","2013-2014",426.60
"Spotsylvania County","2014-2015",428.17
"Spotsylvania County","2015-2016",427.70
"Stafford County","2011-2012",431.63
"Stafford County","2012-2013",435.31
"Stafford County","2013-2014",442.83
"Stafford County","2014-2015",444.97
"Stafford County","2015-2016",441.16
"Staunton City","2011-2012",428.16
"Staunton City","2012-2013",425.89
"Staunton City","2013-2014",427.07
"Staunton City","2014-2015",428.21
"Staunton City","2015-2016",438.13
"Suffolk City","2011-2012",404.02
"Suffolk City","2012-2013",404.82
"Suffolk City","2013-2014",413.79
"Suffolk City","2014-2015",417.57
"Suffolk City","2015-2016",421.29
"Surry County","2011-2012",413.64
"Surry County","2012-2013",411.10
"Surry County","2013-2014",413.97
"Surry County","2014-2015",411.92
"Surry County","2015-2016",421.99
"Sussex County","2011-2012",396.67
"Sussex County","2012-2013",391.00
"Sussex County","2013-2014",408.12
"Sussex County","2014-2015",422.08
"Sussex County","2015-2016",435.35
"Tazewell County","2011-2012",410.82
"Tazewell County","2012-2013",412.08
"Tazewell County","2013-2014",427.93
"Tazewell County","2014-2015",435.67
"Tazewell County","2015-2016",441.00
"Virginia Beach City","2011-2012",422.22
"Virginia Beach City","2012-2013",423.45
"Virginia Beach City","2013-2014",434.61
"Virginia Beach City","2014-2015",441.28
"Virginia Beach City","2015-2016",443.91
"Warren County","2011-2012",412.22
"Warren County","2012-2013",419.09
"Warren County","2013-2014",419.77
"Warren County","2014-2015",422.06
"Warren County","2015-2016",422.33
"Washington County","2011-2012",420.03
"Washington County","2012-2013",423.97
"Washington County","2013-2014",427.59
"Washington County","2014-2015",438.87
"Washington County","2015-2016",443.40
"Waynesboro City","2011-2012",410.07
"Waynesboro City","2012-2013",419.30
"Waynesboro City","2013-2014",417.49
"Waynesboro City","2014-2015",423.00
"Waynesboro City","2015-2016",432.87
"West Point","2011-2012",438.10
"West Point","2012-2013",440.85
"West Point","2013-2014",460.71
"West Point","2014-2015",458.33
"West Point","2015-2016",449.33
"Westmoreland County","2011-2012",406.66
"Westmoreland County","2012-2013",416.96
"Westmoreland County","2013-2014",426.22
"Westmoreland County","2014-2015",436.79
"Westmoreland County","2015-2016",435.66
"Williamsburg-James City County","2011-2012",428.35
"Williamsburg-James City County","2012-2013",430.31
"Williamsburg-James City County","2013-2014",436.72
"Williamsburg-James City County","2014-2015",437.74
"Williamsburg-James City County","2015-2016",435.97
"Winchester City","2011-2012",422.13
"Winchester City","2012-2013",417.79
"Winchester City","2013-2014",440.22
"Winchester City","2014-2015",431.17
"Winchester City","2015-2016",436.19
"Wise County","2011-2012",431.45
"Wise County","2012-2013",444.52
"Wise County","2013-2014",445.70
"Wise County","2014-2015",462.38
"Wise County","2015-2016",461.41
"Wythe County","2011-2012",406.34
"Wythe County","2012-2013",400.79
"Wythe County","2013-2014",415.45
"Wythe County","2014-2015",433.34
"Wythe County","2015-2016",454.49
"York County","2011-2012",425.84
"York County","2012-2013",429.43
"York County","2013-2014",433.19
"York County","2014-2015",439.68
"York County","2015-2016",442.83
